resp_id,wfh_expect,Job_Clerical or administrative support,"Job_Manufacturing, construction, maintenance, or farming","Job_Professional, managerial, or technical",Job_Sales or service,Workload_increased,Workload_decreased,Increased_productivity,Decreased_productivity,hhveh_harm,age,gender,Number_bedrooms,Race_white,Gradutae_degree,High_income(LessThan_100K),More_income(LMoreThan_35K)
1466,Yes,0,0,0,0,1,0,1,0,2,39,0,4,1,0,0,1
1470,Yes,0,0,1,0,1,0,0,1,2,61,0,2,1,1,0,1
1473,Yes,0,0,1,0,0,1,0,1,4,25,0,5,1,0,0,0
1475,Yes,0,0,1,0,0,0,0,0,4,22,1,5,1,0,0,1
1476,Yes,0,0,0,0,1,0,0,1,2,35,0,2,1,1,0,0
1478,No,0,0,0,1,0,0,0,1,2,39,1,2,1,0,0,1
1486,Yes,0,0,1,0,0,0,1,0,3,42,0,3,1,1,0,1
1489,Yes,0,0,0,0,0,0,0,0,1,33,0,2,1,0,0,0
1495,No,0,0,1,0,1,0,1,0,4,50,0,2,1,1,0,0
1498,No,0,0,0,1,1,0,0,1,2,56,1,3,1,0,0,1
1502,Yes,0,0,0,1,0,0,0,0,3,39,0,5,1,1,0,0
1504,No,0,0,1,0,0,0,0,0,1,33,1,4,1,0,0,1
1508,Yes,0,0,1,0,1,0,0,0,2,60,0,4,1,0,0,1
1510,No,0,0,0,1,0,0,0,0,2,31,0,4,1,0,0,0
1511,Yes,0,0,1,0,0,0,1,0,2,45,0,5,1,0,0,1
1518,Yes,0,1,0,0,0,0,0,0,3,67,1,3,1,0,1,0
1523,Yes,0,0,1,0,0,0,0,1,2,38,0,4,1,0,0,1
1526,No,0,0,0,1,0,0,0,0,2,43,1,2,1,0,0,1
1532,No,0,0,1,0,0,0,0,0,3,46,0,3,1,1,0,1
1538,Yes,0,0,1,0,0,1,0,0,2,53,1,4,1,0,0,1
1541,Yes,0,0,1,0,0,0,0,1,3,43,0,4,1,1,0,1
1552,No,0,0,1,0,0,0,0,0,2,62,0,3,1,1,0,0
1554,No,0,0,0,1,0,1,1,0,2,52,0,2,1,0,1,0
1558,No,1,0,0,0,0,0,0,0,3,59,1,2,1,0,0,0
1570,No,0,0,0,0,0,1,0,0,3,49,0,5,1,0,0,0
1585,Yes,0,0,1,0,1,0,1,0,2,37,1,4,1,1,0,1
1591,Yes,0,0,1,0,0,1,0,0,2,58,0,3,1,0,0,1
1595,No,0,0,0,0,0,1,0,1,1,58,0,2,0,0,0,0
1597,Yes,0,0,1,0,0,1,0,1,1,66,0,1,1,1,1,0
1604,Yes,0,0,1,0,0,0,0,1,2,45,0,5,1,0,0,1
1613,No,0,0,0,1,0,0,0,0,1,77,0,3,1,0,0,1
1615,No,0,0,0,1,1,0,1,0,2,76,0,1,1,0,0,0
1635,No,0,0,0,1,1,0,1,0,3,50,0,3,1,0,0,0
1642,Yes,0,0,1,0,0,1,0,1,4,47,1,3,0,0,0,0
1643,Yes,0,0,1,0,1,0,0,0,2,49,1,4,1,0,0,0
1645,Yes,0,0,1,0,0,0,0,0,2,54,1,3,1,1,0,1
1647,No,0,0,0,0,0,1,0,0,3,49,0,4,1,1,0,1
1656,Yes,0,0,0,0,0,0,0,1,2,62,0,3,1,1,0,0
1657,Yes,0,0,1,0,0,1,0,1,2,68,0,4,1,0,0,0
1662,No,0,0,1,0,0,0,0,0,1,40,0,2,1,0,0,0
1663,Yes,1,0,0,0,1,0,1,0,2,62,0,3,1,0,0,1
1667,No,0,0,1,0,0,0,0,0,1,43,0,2,1,1,0,0
1671,No,1,0,0,0,0,1,0,0,2,37,0,4,1,0,0,0
1672,Yes,0,0,1,0,0,1,0,0,3,45,0,5,1,0,0,1
1676,Yes,0,0,1,0,1,0,0,0,2,65,1,4,1,0,0,1
1677,Yes,1,0,0,0,0,0,0,0,2,74,0,2,1,0,0,0
1678,No,0,0,0,1,0,1,0,1,1,74,0,0,1,1,0,0
1679,No,0,0,1,0,0,0,1,0,2,37,1,4,1,0,0,1
1680,No,0,0,0,1,1,0,0,0,3,22,0,3,1,0,1,0
1693,No,0,0,1,0,1,0,1,0,2,45,0,3,0,0,0,0
1694,No,0,0,0,1,0,0,0,0,4,46,0,3,1,0,1,0
1699,Yes,0,0,0,0,0,0,0,0,1,61,0,3,1,0,0,1
1706,Yes,1,0,0,0,0,0,0,1,1,31,0,1,0,0,1,0
1711,Yes,0,0,1,0,1,0,0,0,2,37,1,5,1,0,0,1
1712,No,0,0,0,1,0,0,0,0,3,30,0,4,1,0,0,0
1715,No,0,0,0,1,1,0,1,0,1,36,0,3,1,0,0,0
1716,Yes,0,0,0,1,0,0,0,0,3,51,0,4,1,0,0,1
1718,No,0,0,0,1,0,0,0,0,1,64,0,2,0,0,0,0
1719,Yes,0,0,0,1,0,1,0,0,2,53,1,3,1,0,0,0
1725,Yes,0,0,1,0,0,1,0,0,2,68,1,3,1,0,0,1
1730,No,1,0,0,0,1,0,1,0,2,45,0,5,1,0,0,1
1736,Yes,0,0,1,0,1,0,1,0,3,49,1,5,1,1,0,1
1742,No,0,0,0,1,1,0,1,0,2,39,0,2,0,0,0,0
1743,Yes,1,0,0,0,0,0,1,0,1,46,1,3,1,0,0,0
1752,No,0,0,1,0,0,0,0,1,2,32,1,3,0,1,0,1
1753,No,0,0,0,1,1,0,1,0,3,64,0,4,1,0,0,1
1754,No,0,0,1,0,0,0,0,0,1,65,1,3,1,0,0,1
1759,Yes,0,0,1,0,0,0,1,0,2,58,0,4,1,0,0,1
1763,Yes,0,0,1,0,1,0,0,0,2,53,0,4,1,0,0,1
1764,No,0,0,1,0,0,1,0,0,2,49,1,3,1,0,0,0
1765,Yes,0,0,0,1,0,1,1,0,2,48,0,3,1,1,0,1
1766,Yes,0,0,0,1,0,1,1,0,2,63,0,4,1,0,0,1
1769,Yes,0,0,1,0,1,0,0,0,3,59,1,5,1,0,0,1
1783,Yes,0,0,1,0,0,0,1,0,4,55,0,4,1,0,0,1
1788,No,0,0,0,1,1,0,0,0,2,72,0,4,1,0,0,0
1791,No,0,0,0,0,0,0,0,0,3,54,1,5,1,0,0,1
1803,No,0,0,0,1,0,0,0,0,1,54,0,1,1,1,1,0
1806,No,0,0,0,1,0,1,0,1,3,59,0,3,1,0,0,0
1807,Yes,0,0,1,0,1,0,0,0,3,66,1,5,1,1,0,1
1808,No,0,1,0,0,0,0,0,0,4,61,1,3,1,0,0,0
1818,No,0,0,0,1,0,0,0,0,3,41,0,4,1,0,0,0
1819,No,0,0,1,0,1,0,0,1,3,64,0,2,1,0,0,0
1822,No,0,0,0,1,1,0,0,1,3,63,1,5,1,1,0,1
1826,No,0,0,1,0,1,0,1,0,3,55,0,4,1,1,0,1
1838,No,0,1,0,0,0,0,0,0,1,69,1,2,0,0,0,0
1842,No,0,0,0,0,0,0,0,0,2,64,1,2,1,1,0,1
1848,Yes,0,0,1,0,0,0,0,0,3,75,0,4,1,1,0,1
1851,Yes,0,0,0,0,1,0,1,0,4,60,0,4,1,0,0,1
1858,No,0,0,0,1,0,0,1,0,1,52,0,2,1,0,0,0
1859,No,0,0,1,0,0,0,0,0,2,64,1,2,1,0,0,1
1863,Yes,0,0,1,0,0,0,0,0,3,62,0,4,1,0,0,1
1864,Yes,0,0,0,0,0,0,0,0,2,47,0,4,1,0,0,0
1869,No,0,0,0,0,0,0,0,0,3,40,0,3,1,0,0,0
1870,Yes,0,0,1,0,0,0,0,0,2,63,1,4,1,0,0,1
1871,No,0,0,1,0,0,1,0,0,3,53,1,5,1,1,0,1
1889,No,0,0,1,0,0,0,0,0,4,70,1,4,1,0,1,0
1891,Yes,0,0,0,1,0,0,0,0,4,53,0,4,1,0,0,1
1893,No,0,0,1,0,0,0,0,0,2,67,0,3,1,0,0,0
1907,No,0,0,0,0,0,0,0,1,2,39,0,2,0,0,1,0
1909,No,0,0,0,1,0,0,0,0,4,51,1,5,1,0,0,1
1922,Yes,0,0,1,0,0,1,0,1,2,64,1,2,1,1,0,0
1923,Yes,0,0,0,1,1,0,1,0,3,62,0,5,1,1,0,0
1933,No,0,0,1,0,0,1,0,1,2,65,0,4,1,1,0,1
1934,No,0,0,1,0,0,1,0,1,3,67,0,5,1,1,0,0
1941,Yes,0,0,0,0,0,0,0,0,3,75,1,4,1,1,0,1
1957,Yes,0,0,1,0,1,0,1,0,3,65,1,5,1,1,0,0
1965,No,0,1,0,0,1,0,1,0,4,60,0,4,1,0,0,1
1975,Yes,0,0,1,0,1,0,0,0,2,67,1,3,1,1,0,1
1987,No,0,0,0,1,0,0,0,0,2,44,1,3,0,0,0,0
1993,Yes,0,0,1,0,0,0,0,0,4,65,0,5,0,0,0,1
2005,Yes,0,0,0,1,0,1,0,1,3,61,0,3,1,1,0,1
2008,No,0,0,0,1,0,0,0,0,3,40,0,5,1,0,0,1
2009,No,0,0,0,0,0,1,0,1,1,67,0,4,1,0,0,0
2010,No,0,0,0,1,1,0,0,0,2,71,0,5,0,0,0,1
2017,No,0,0,0,1,1,0,0,0,2,28,1,5,1,0,1,0
2019,No,0,1,0,0,1,0,1,0,4,47,0,5,1,0,0,1
2021,No,0,0,0,0,0,0,0,0,2,38,0,4,1,1,0,1
2024,No,0,0,1,0,0,0,0,0,1,69,1,3,1,1,0,0
2025,No,0,1,0,0,0,0,0,1,2,77,0,3,1,0,0,1
2043,Yes,0,0,0,1,0,0,0,0,2,60,1,3,1,0,0,1
2048,Yes,0,0,1,0,0,0,0,0,2,35,1,3,1,1,0,1
2062,Yes,0,0,1,0,0,1,0,0,2,67,0,3,1,1,0,1
2066,Yes,0,0,1,0,0,0,0,1,4,62,1,5,1,0,0,1
2081,No,0,1,0,0,0,0,0,0,2,73,1,5,1,0,0,0
2097,Yes,0,0,0,0,0,1,0,1,1,70,0,3,1,1,0,0
2108,Yes,0,0,0,1,0,0,0,1,3,42,0,4,1,1,0,1
2115,No,0,0,0,1,0,1,0,0,2,47,0,5,1,0,0,1
2117,Yes,0,0,0,1,1,0,0,0,1,40,1,1,1,0,1,0
2128,No,0,0,1,0,1,0,1,0,3,63,0,5,1,0,0,0
2132,No,0,0,0,1,0,0,0,0,4,26,1,3,1,0,0,0
2135,No,0,0,0,1,1,0,0,1,1,29,0,5,0,0,0,0
2140,Yes,0,0,0,1,0,0,0,0,1,64,1,1,0,1,1,0
2157,Yes,0,0,1,0,1,0,0,0,2,70,1,2,1,1,0,1
2167,Yes,0,0,0,0,0,0,0,0,2,70,1,4,1,0,0,0
2179,No,0,1,0,0,1,0,1,0,4,43,1,3,1,0,0,1
2184,No,0,0,1,0,0,0,0,0,3,57,0,4,0,0,0,0
2189,Yes,0,0,0,1,1,0,0,0,2,61,0,2,1,0,0,0
2190,No,0,0,1,0,0,0,0,1,3,56,0,3,1,0,0,0
2198,Yes,0,0,1,0,0,0,0,0,4,58,1,4,1,0,0,1
2200,No,0,0,0,1,0,0,0,0,3,56,1,4,1,0,0,1
2204,Yes,0,0,0,1,0,0,0,0,2,65,0,5,1,0,0,0
2206,No,0,0,1,0,0,0,0,0,4,65,1,4,1,0,0,1
2213,Yes,0,0,1,0,0,0,0,0,4,42,1,3,1,0,0,1
2224,Yes,0,0,0,0,0,0,1,0,1,57,1,4,1,0,1,0
2225,Yes,0,0,1,0,0,1,0,0,1,39,1,1,1,1,0,1
2227,No,0,0,1,0,0,1,0,1,2,41,0,4,1,1,0,1
2235,Yes,0,0,1,0,1,0,0,0,3,26,0,4,1,1,0,1
2236,No,0,1,0,0,0,1,0,1,2,43,1,4,0,0,0,1
2241,No,0,0,1,0,0,0,0,0,2,47,1,2,1,1,0,1
2253,Yes,0,0,0,1,1,0,0,0,2,64,0,3,1,1,0,1
2257,Yes,0,0,0,0,0,0,0,0,1,72,0,2,1,1,0,1
2262,No,0,0,1,0,0,0,0,1,0,53,0,2,1,1,0,0
2271,Yes,0,0,0,1,1,0,1,0,2,51,0,3,1,0,0,0
2275,Yes,0,0,1,0,1,0,0,0,0,37,0,2,1,0,0,0
2282,No,0,0,0,0,0,0,0,0,0,21,0,1,0,0,1,0
2284,Yes,0,0,0,1,0,0,1,0,2,35,1,4,1,0,0,0
2293,Yes,0,0,1,0,1,0,1,0,2,35,1,5,1,1,0,1
2297,No,0,0,1,0,0,0,0,1,2,49,1,4,1,0,0,0
2298,Yes,0,0,1,0,1,0,0,1,2,39,0,3,1,0,0,1
2305,Yes,0,0,0,1,1,0,1,0,1,53,1,2,0,0,0,1
2307,No,1,0,0,0,1,0,1,0,1,32,0,2,0,0,0,0
2309,Yes,0,0,1,0,0,0,0,0,4,39,0,4,1,1,1,0
2317,No,0,1,0,0,0,0,1,0,2,55,1,3,1,0,0,0
2321,Yes,0,0,1,0,0,1,0,0,2,64,1,5,1,0,0,1
2328,Yes,0,0,0,1,0,0,0,0,1,81,0,4,1,0,1,0
2337,No,0,0,0,1,0,0,0,0,1,72,0,2,1,0,0,0
2338,Yes,0,1,0,0,1,0,0,1,4,45,0,4,0,0,0,0
2348,No,0,0,0,0,0,0,0,0,1,69,0,4,1,0,0,0
2349,No,0,0,0,1,0,1,0,0,4,54,0,4,1,1,0,1
2352,Yes,0,0,1,0,0,0,1,0,2,67,1,2,1,0,0,0
2363,No,0,0,1,0,0,1,0,1,3,56,1,3,0,0,0,1
2364,Yes,0,0,0,1,0,1,0,1,2,76,1,3,1,1,0,1
2368,No,0,0,0,1,0,0,0,0,2,61,1,3,1,1,0,1
2387,Yes,0,0,1,0,1,0,0,0,2,49,1,5,1,0,0,1
2389,No,0,1,0,0,0,1,0,1,3,49,1,5,1,0,0,1
2406,No,0,0,1,0,1,0,0,1,1,60,1,3,1,1,0,0
2412,Yes,0,0,0,0,0,0,0,0,3,55,0,4,1,0,0,0
2416,Yes,0,0,0,1,0,1,0,1,2,62,0,2,1,0,0,1
2425,Yes,0,0,1,0,1,0,1,0,2,58,0,4,1,0,0,1
2426,No,0,0,0,1,1,0,1,0,1,52,1,3,1,0,0,0
2440,No,0,0,0,1,1,0,0,1,2,44,0,5,1,0,0,0
2451,Yes,0,0,0,1,1,0,1,0,1,30,1,4,1,0,0,0
2452,Yes,0,0,1,0,0,0,0,0,2,61,1,2,1,0,0,0
2467,No,0,0,1,0,0,1,1,0,2,34,0,5,0,0,0,1
2468,No,0,0,0,0,0,0,0,0,0,57,1,1,1,0,1,0
2471,Yes,0,0,0,1,1,0,0,1,1,34,1,3,1,1,0,0
2479,No,0,0,0,0,0,0,0,0,4,51,0,4,1,0,0,1
2481,No,0,1,0,0,0,1,0,0,3,33,1,3,1,0,1,0
2483,Yes,0,0,1,0,0,1,0,0,2,50,0,3,1,0,0,1
2484,No,0,0,0,1,0,0,0,0,0,61,0,2,1,0,1,0
2485,No,0,0,1,0,0,1,0,1,2,62,0,3,1,1,0,1
2487,No,0,0,0,1,0,1,0,1,2,74,0,3,1,0,0,1
2493,Yes,1,0,0,0,0,1,0,1,1,32,0,3,1,0,0,0
2495,No,0,0,0,0,0,0,0,0,1,68,0,2,1,0,0,0
2496,No,1,0,0,0,1,0,1,0,1,36,1,4,1,0,0,1
2498,No,0,0,0,1,0,0,0,0,2,29,0,4,0,0,1,0
2499,Yes,0,0,1,0,0,1,0,1,2,62,0,3,1,0,0,0
2509,Yes,0,0,0,1,0,1,0,1,2,42,1,3,1,0,0,0
2521,Yes,0,0,0,1,1,0,1,0,0,63,0,2,0,0,1,0
2523,No,0,0,1,0,0,1,0,1,2,35,0,4,1,0,0,1
2531,Yes,0,0,1,0,0,0,0,0,1,43,0,4,1,0,0,0
2532,No,0,0,0,1,1,0,0,0,2,50,1,4,1,0,0,0
2540,No,1,0,0,0,0,0,0,0,1,70,0,3,1,0,1,0
2541,No,0,0,0,1,0,1,0,0,3,57,1,4,1,0,0,1
2544,Yes,0,0,0,0,0,0,0,0,0,35,0,1,1,0,0,0
2549,No,0,0,0,1,0,1,0,1,2,21,1,3,0,0,0,0
2551,No,0,0,0,1,0,0,1,0,1,61,0,3,1,0,0,0
2561,Yes,0,0,0,1,0,0,0,0,1,34,0,3,1,0,0,0
2562,No,0,0,1,0,0,0,0,0,2,67,1,3,1,0,0,1
2572,No,0,0,1,0,0,1,0,1,1,75,1,5,1,1,0,0
2580,Yes,0,0,0,0,0,0,0,0,1,49,1,3,1,0,0,0
2582,Yes,0,0,1,0,1,0,0,1,1,35,0,2,1,1,0,0
2585,Yes,0,1,0,0,0,1,1,0,2,35,1,4,1,1,0,1
2587,No,0,0,0,1,0,1,0,0,1,67,1,1,1,0,0,0
2594,Yes,0,0,0,1,0,1,1,0,2,50,1,4,1,0,0,0
2595,Yes,0,0,1,0,0,0,0,0,3,56,0,3,1,1,0,0
2598,No,0,0,1,0,0,0,0,0,2,20,0,5,0,0,0,1
2605,No,0,0,0,0,0,0,0,0,1,29,0,1,0,0,0,0
2615,No,1,0,0,0,0,0,0,0,1,50,0,4,1,0,0,0
2620,No,1,0,0,0,0,1,0,0,1,55,0,4,1,0,0,0
2628,No,0,0,1,0,0,0,0,0,2,60,1,5,1,0,0,1
2629,Yes,0,0,0,1,0,0,0,0,1,44,0,2,1,1,0,1
2630,Yes,0,0,1,0,0,0,1,0,3,44,1,3,0,0,0,1
2637,Yes,0,0,1,0,0,0,0,0,2,74,0,4,1,0,0,0
2639,Yes,1,0,0,0,1,0,0,1,1,30,0,4,1,0,0,0
2640,Yes,0,0,0,0,0,0,0,0,0,39,0,1,1,0,1,0
2642,Yes,0,0,0,0,0,1,0,0,4,56,0,2,1,0,0,0
2648,Yes,0,0,0,0,0,0,0,0,2,38,0,4,1,1,0,0
2657,No,0,0,0,1,1,0,0,1,0,33,0,1,0,0,1,0
2662,No,0,0,0,1,0,0,0,0,2,69,0,2,1,0,0,1
2666,No,0,0,0,1,1,0,0,1,1,25,1,2,0,0,1,0
2668,Yes,1,0,0,0,0,0,0,1,1,57,0,3,1,0,0,1
2672,No,0,0,1,0,0,0,0,0,3,59,0,3,1,0,0,0
2673,No,0,1,0,0,1,0,1,0,2,41,1,2,1,0,0,0
2684,Yes,0,0,1,0,0,0,1,0,1,40,1,2,0,1,0,1
2685,No,0,0,0,1,0,0,0,0,2,45,0,3,0,1,0,1
2686,Yes,0,0,1,0,0,1,0,1,4,26,0,3,1,0,0,1
2692,No,0,0,1,0,0,0,0,0,2,53,0,2,1,0,1,0
2696,Yes,0,0,1,0,0,0,0,0,1,63,0,4,1,0,1,0
2697,Yes,0,0,1,0,1,0,0,1,2,65,1,4,1,1,0,1
2703,Yes,0,0,1,0,0,1,0,0,2,35,0,5,0,0,0,1
2705,Yes,1,0,0,0,0,0,0,0,1,58,1,4,1,0,1,0
2716,No,0,0,1,0,1,0,1,0,1,60,0,3,1,1,0,0
2722,No,0,0,0,1,0,0,0,0,2,24,0,5,0,0,0,0
2723,No,0,0,0,1,0,0,0,0,1,65,0,3,1,0,0,1
2725,Yes,0,0,1,0,0,0,0,0,2,51,1,3,0,1,0,1
2726,Yes,0,0,1,0,0,1,1,0,2,44,0,4,1,1,0,1
2727,No,0,0,1,0,0,1,0,0,2,58,1,3,0,0,0,0
2728,Yes,0,0,0,0,1,0,0,0,1,48,0,4,1,0,0,1
2735,No,0,0,0,0,0,0,0,0,3,22,0,0,1,0,0,1
2740,Yes,0,0,0,0,0,0,0,0,1,50,0,2,1,1,0,0
2741,Yes,1,0,0,0,0,1,1,0,2,61,0,3,1,0,0,0
2751,Yes,1,0,0,0,0,0,0,0,0,62,0,2,0,0,1,0
2753,No,1,0,0,0,0,0,1,0,1,25,0,4,0,0,0,0
2755,Yes,0,0,1,0,0,1,0,0,1,55,0,3,1,0,0,0
2761,No,0,0,1,0,0,0,1,0,2,49,0,5,1,0,0,0
2763,Yes,0,0,0,1,0,0,0,0,2,56,0,3,1,0,0,1
2764,Yes,1,0,0,0,0,0,0,0,1,37,0,3,1,0,0,0
2765,No,0,1,0,0,0,0,0,0,2,57,1,3,1,0,0,0
2767,Yes,0,0,0,0,1,0,0,0,2,51,1,5,0,0,0,0
2770,No,0,0,0,0,0,1,1,0,2,52,0,3,1,0,1,0
2773,No,0,0,0,1,0,0,0,0,0,55,0,2,0,0,0,0
2779,Yes,0,0,1,0,0,1,0,0,1,60,0,3,1,0,1,0
2780,Yes,0,0,1,0,0,0,0,0,2,42,0,3,1,1,0,1
2786,No,0,0,0,0,0,0,0,0,4,24,0,3,1,0,0,0
2787,Yes,0,0,1,0,0,0,1,0,2,31,1,3,1,0,0,0
2788,Yes,0,0,0,1,0,0,0,1,0,48,1,1,1,0,0,0
2792,No,0,0,0,0,0,0,0,0,2,52,1,3,1,0,0,0
2795,Yes,0,0,0,1,0,1,0,0,1,43,0,2,1,0,0,0
2796,No,1,0,0,0,0,0,0,0,2,71,0,3,1,0,0,0
2797,Yes,0,0,1,0,0,0,0,0,3,41,1,5,0,0,0,1
2802,Yes,0,0,1,0,0,0,0,0,0,46,0,1,0,1,0,1
2803,Yes,0,0,1,0,0,0,0,1,1,50,1,2,1,1,0,1
2804,Yes,0,0,1,0,0,0,0,0,2,51,0,3,0,1,0,0
2807,No,0,1,0,0,1,0,0,1,1,34,1,5,0,0,0,0
2811,Yes,1,0,0,0,0,0,0,0,2,35,1,3,1,0,0,0
2813,Yes,0,1,0,0,0,0,1,0,1,67,0,2,1,1,0,0
2814,Yes,0,0,1,0,0,0,0,0,1,51,1,2,0,0,0,0
2815,Yes,0,0,0,1,0,1,0,1,3,50,0,5,1,0,0,1
2818,No,0,0,1,0,0,0,0,0,1,76,0,4,1,0,0,0
2821,Yes,0,0,0,0,0,0,0,0,0,23,0,2,0,0,1,0
2835,Yes,0,1,0,0,0,1,1,0,2,47,1,3,1,0,0,1
2836,Yes,0,0,0,0,0,0,0,0,1,18,1,3,0,0,1,0
2839,No,0,0,1,0,0,1,0,1,2,58,1,1,0,0,0,0
2841,No,0,0,0,1,1,0,0,0,2,45,1,1,1,1,0,0
2843,Yes,0,0,0,0,1,0,1,0,1,44,0,3,0,0,1,0
2844,No,0,1,0,0,0,0,0,0,2,74,1,3,1,0,0,0
2849,Yes,0,0,1,0,0,0,0,1,1,60,1,4,1,0,0,1
2864,Yes,0,0,1,0,1,0,0,1,2,40,1,4,1,0,0,1
2868,Yes,0,0,1,0,0,0,0,1,1,64,1,1,1,0,0,0
2869,Yes,0,0,0,1,1,0,1,0,1,66,1,2,1,1,0,0
2882,Yes,0,0,0,1,0,0,0,0,1,53,0,2,1,0,1,0
