These questions are asked in the wave 1 of the survey,,,,,,,,resp_id,weight,empl_pre_harm,jobcat_pre_harm,worker_now,student,wfh_pre,wfh_pre_freq,bzvm_pre,workload,wfh_now,wfh_now_days,bzvm_now,prod_change,prod_decr_reason_1,prod_decr_reason_4,prod_decr_reason_5,prod_decr_reason_6,prod_decr_reason_7,prod_decr_reason_9,prod_incr_reason_1,prod_incr_reason_2,prod_incr_reason_3,prod_incr_reason_9_w1b,prod_incr_reason_12_w1b,hhveh_harm,age,gender,bedrooms,hispanic,White/Caucasian,Black/African American,Asian,educ,hhsize,hhincome,income_change,The next questions are asked in the wave 2 of the survey from the same people,,,,,,,,,,,,,wfh_now,wfh_now_days,prod_change,wfh_expect,wfh_freq_exp_w1b,bzvm_exp,enjoy_change_mc_4,enjoy_change_mc_6,enjoy_change_mc_10,enjoy_change_mc_11,enjoy_change_mc_12,enjoy_change_mc_13,negative_impact_4,negative_impact_5,negative_impact_11,
,,,,,,,,46,0.008816951,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,A few times/month,"Yes, it has somewhat decreased",Yes,7,7,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,2,63,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,7,Somewhat higher,Yes,A few times/week,A few times/week,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,47,0.206103359,Not employed,Question not displayed to respondent,no,"Yes, Full-time",Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,0,32,Female,1,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,No,,Question not displayed to respondent,No,Question not displayed to respondent,A few times/year,Not selected,Not selected,Spending more time with family,Cooking at home more often,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,49,2.067261991,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/month,A few times/year,"Yes, it has somewhat increased",Yes,5,3,Decreased somewhat,Childcare,More distractions at home,Not selected,Need equipment or technology not available at home,Lack of comfortable workspace,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,56,Male,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),4,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,3,Somewhat lower,Yes,Once/week,A few times/week,Not selected,Taking more walks,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,58,1.335592786,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/year,A few times/year,"Yes, it has somewhat decreased",Yes,5,4,Decreased somewhat,Not selected,More distractions at home,Not selected,Need equipment or technology not available at home,Lack of comfortable workspace,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,3,53,Female,5,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),5,"$200,000 or more",It has gone down a lot,,,,,,,,,,,,,,Yes,5,Somewhat lower,Yes,Once/week,A few times/month,Not selected,Taking more walks,Spending more time with family,Cooking at home more often,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,61,0.439670769,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/week,Never,"Yes, it has somewhat increased",Yes,5,4,In some ways it has increased and in other ways it has decreased,Childcare,More distractions at home,Not selected,Not selected,Not selected,Not selected,Not selected,More comfortable workspace at home,No commuting time,Variable not available in datasource,Variable not available in datasource,2,56,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),3,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,5,About the same,Yes,A few times/week,A few times/month,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,67,0.434943456,Employed full time,"Manufacturing, construction, maintenance, or farming (does not includes maintenance and farming for those who answered jobcat_pre_w2)",yes,"Yes, Part-time",No,Question not displayed to respondent,A few times/month,"No, it has stayed about the same",No,,1,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,50,Male,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,No,,Somewhat lower,Yes,Once/week,Every day,Not selected,Not selected,Not selected,Not selected,Spending less money,A slower pace of life,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,72,0.345475737,Employed full time,Clerical or administrative support,yes,No,No,Question not displayed to respondent,Never,"No, it has stayed about the same",Yes,5,1,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,62,Female,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,3,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,A few times/year,Not selected,Not selected,Not selected,Not selected,Spending less money,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,79,0.265982379,Employed part time,Something else,yes,"Yes, Full-time",Yes,A few times/week,Never,"Yes, it has somewhat increased",Yes,5,0,Decreased significantly,Not selected,Not selected,Not selected,Not selected,Not selected,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,41,Female,2,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$10,000 to $14,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Somewhat higher,Yes,A few times/week,A few times/week,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,83,0.068612001,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/week,A few times/month,"Yes, it has somewhat decreased",Yes,7,4,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,49,Male,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),4,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,7,Somewhat lower,Yes,Once/week,A few times/week,Not selected,Not selected,Not selected,Cooking at home more often,Spending less money,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,87,0.488874476,Employed full time,Something else,yes,"Yes, Part-time",No,Question not displayed to respondent,Never,"Yes, it has somewhat decreased",Yes,5,3,Decreased significantly,Not selected,More distractions at home,Not selected,Not selected,Lack of comfortable workspace,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,28,Female,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Somewhat lower,No,Question not displayed to respondent,A few times/year,Not selected,Not selected,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,89,0.163118221,Employed full time,Something else,yes,"Yes, Full-time",No,Question not displayed to respondent,A few times/month,"Yes, it has somewhat decreased",Yes,5,5,In some ways it has increased and in other ways it has decreased,Childcare,More distractions at home,Not selected,Not selected,Lack of comfortable workspace,There are too many concerns on my mind to be able to focus fully on work,Not selected,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,2,37,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),5,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Yes,0,In some ways it is higher and in other ways it is lower,No,Question not displayed to respondent,A few times/week,Not selected,Taking more walks,Spending more time with family,Not selected,Not selected,A slower pace of life,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,90,0.544168972,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,68,Male,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Taking more walks,Not selected,Not selected,Not selected,A slower pace of life,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,91,0.412494187,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/month,Every day,"Yes, it has substantially increased",Yes,6,5,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,70,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,5,About the same,Yes,Every day,Every day,Commuting less,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,"Feeling nervous, anxious, or sad",
,,,,,,,,93,0.057675473,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,71,Female,1,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),1,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,Yes,2,Question not displayed to respondent,Yes,A few times/week,A few times/month,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,94,0.296122541,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,Never,"Yes, it has somewhat increased",Yes,6,6,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,2,63,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Yes,2,About the same,No,Question not displayed to respondent,A few times/month,Not selected,Not selected,Not selected,Cooking at home more often,Not selected,A slower pace of life,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,95,0.267748851,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/month,A few times/week,"Yes, it has substantially increased",Yes,5,5,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Not selected,Variable not available in datasource,Variable not available in datasource,3,53,Female,5,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),5,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,5,In some ways it is higher and in other ways it is lower,Yes,A few times/week,Every day,Commuting less,Not selected,Spending more time with family,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,102,0.266651245,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/month,A few times/year,"No, it has stayed about the same",Yes,7,4,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,35,Male,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$125,000 to $149,999",It has stayed about the same,,,,,,,,,,,,,,Yes,7,About the same,Yes,A few times/week,A few times/month,Not selected,Not selected,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,"Feeling nervous, anxious, or sad",
,,,,,,,,106,0.219014687,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,A few times/year,"Yes, it has somewhat increased",Yes,5,4,Increased significantly,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Less distractions at home,Not selected,No commuting time,Variable not available in datasource,Variable not available in datasource,4 or more,49,Female,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,
,,,,,,,,107,0.028043346,Employed full time,Clerical or administrative support,yes,No,Yes,Every day,A few times/year,"No, it has stayed about the same",Yes,5,2,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,31,Female,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,In some ways it is higher and in other ways it is lower,Yes,Every day,A few times/week,Not selected,Not selected,Not selected,Not selected,Not selected,A slower pace of life,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,108,0.147885102,Employed full time,"Professional, managerial, or technical",yes,No,Yes,Never,A few times/year,"No, it has stayed about the same",Yes,5,4,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,2,57,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Significantly lower,No,Question not displayed to respondent,A few times/week,Commuting less,Not selected,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,111,0.008373431,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/week,A few times/month,"Yes, it has substantially decreased",Yes,5,3,Decreased significantly,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,58,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Yes,5,Somewhat higher,Yes,Every day,A few times/week,Not selected,Taking more walks,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,114,0.313900516,Employed full time,"Professional, managerial, or technical",yes,No,Yes,A few times/year,A few times/week,"No, it has stayed about the same",Yes,5,5,Decreased somewhat,Not selected,More distractions at home,Difficult to communicate with co-workers,Need equipment or technology not available at home,Lack of comfortable workspace,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,32,Male,2,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Yes,5,About the same,Yes,A few times/year,A few times/month,Not selected,Not selected,Spending more time with family,Cooking at home more often,Spending less money,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,118,0.114314769,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,1,62,Female,3,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),4,"$200,000 or more",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,
,,,,,,,,125,1.07104069,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,Never,"Yes, it has substantially decreased",Yes,7,3,Decreased significantly,Not selected,Not selected,Not selected,Need equipment or technology not available at home,Not selected,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Variable not available in datasource,Variable not available in datasource,4 or more,31,Female,6,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Yes,3,About the same,No,Question not displayed to respondent,A few times/year,Not selected,Taking more walks,Not selected,Cooking at home more often,Spending less money,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
